Begrotingsjaar,VUO,HoofdstukRomeins,Hoofdstuknaam,Artikelnummer,Artikelnaam,StandOWB,StandO1,StandSBS,StandO2,Realisatie
2013,V,IIA,Staten-Generaal,10,Nominaal en onvoorzien,-2970,543,0,-533,0
2013,O,IIB,Overige Hoge Colleges van Staat en Kabinetten,1,Raad van State,2002,2302,0,2302,2987
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,1,Raad van State,57417,60879,0,59912,58990
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,1,Raad van State,57417,60879,0,59912,59254
2013,O,IIB,Overige Hoge Colleges van Staat en Kabinetten,2,Algemene Rekenkamer,1217,1217,0,1217,1101
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,2,Algemene Rekenkamer,28895,29736,0,29799,29051
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,2,Algemene Rekenkamer,28895,29736,0,29799,29137
2013,O,IIB,Overige Hoge Colleges van Staat en Kabinetten,3,De Nationale Ombudsman,1789,2189,0,2719,2840
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,3,De Nationale Ombudsman,15250,16014,0,16303,16226
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,3,De Nationale Ombudsman,15250,16014,0,16303,15632
2013,O,IIB,Overige Hoge Colleges van Staat en Kabinetten,4,Kanselarij der Nederlandse Orden,29,29,0,29,130
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,4,Kanselarij der Nederlandse Orden,3424,4983,0,5049,4845
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,4,Kanselarij der Nederlandse Orden,3424,4983,0,5049,4791
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,5,Kabinet van de Gouverneur van de Nederlandse Antillen,0,0,0,0,0
2013,V,IIB,Overige Hoge Colleges van Staat en Kabinetten,5,Kabinet van de Gouverneur van de Nederlandse Antillen,0,0,0,0,0
2013,O,IIB,Overige Hoge Colleges van Staat en Kabinetten,6,Kabinet van de Gouverneur van Aruba,60,60,0,60,148
2013,U,IIB,Overige Hoge Colleges van Staat en Kabinetten,6,Kabinet van de Gouverneur van Aruba,1865,1941,0,1941,1986
